feature,importance,importance_pct
DGS30_lag1,0.8422033785982147,84.22033785982147
DGS30_diff,0.05280296027218977,5.280296027218976
DGS30_diff_pct,0.04737506264790564,4.737506264790564
DGS30_return,0.04679115440752331,4.679115440752331
DGS30_roll_mean_7,0.0009127254083721616,0.09127254083721616
DGS30_ma_crossover,0.0008143286365159159,0.0814328636515916
DFF_roll_mean_30,0.0008137733418657343,0.08137733418657343
DGS30_roll_std_30,0.0004799063555574314,0.04799063555574314
DGS30_roll_std_7,0.00046185337992416485,0.04618533799241648
DFF_roll_std_30,0.0003893562096530585,0.03893562096530585
day_of_month,0.0003411681319186487,0.03411681319186487
DFF_lag5,0.0003192302877623202,0.03192302877623202
DFF_ma_crossover,0.00031077692612889614,0.031077692612889615
DGS10_roll_std_30,0.00030077130853362977,0.030077130853362978
DFF_lag10,0.00029266889197376926,0.029266889197376925
DGS10_lag10,0.0002838848969455922,0.028388489694559222
DGS10_ma_crossover,0.0002736744901282992,0.027367449012829916
DGS10_roll_std_7,0.00025543276392160874,0.025543276392160873
DGS30_lag10,0.00025147321373482687,0.025147321373482686
DGS10_lag5,0.0002504534746290899,0.02504534746290899
DGS30_lag5,0.0002449215430629197,0.024492154306291973
DGS10_lag1,0.00022905625613017723,0.022905625613017722
DFF_roll_std_7,0.00022205226764898978,0.02220522676489898
DGS10_roll_mean_30,0.00021993724579186003,0.021993724579186004
DGS30_roll_mean_30,0.00021941865635382834,0.021941865635382835
DGS10_roll_mean_7,0.00018967700176878783,0.018967700176878783
DGS10_return_lag1,0.0001893962155582217,0.01893962155582217
DFF_lag1,0.0001877773052734913,0.01877773052734913
DFF_diff,0.0001754819225858595,0.01754819225858595
DGS30_return_lag1,0.00017081850318256415,0.017081850318256417
DFF_roll_mean_7,0.00016414862915033464,0.016414862915033464
DFF_return_lag1,0.00016405850195901943,0.016405850195901944
DFF_diff_pct,0.00014964077352645758,0.014964077352645757
DFF_return,0.0001474878883719017,0.01474878883719017
month_cos,0.00014504969607929312,0.014504969607929312
day_of_year,0.00014414977727709646,0.014414977727709647
DGS10_diff_pct,0.00014398298683000212,0.014398298683000212
DGS10_diff,0.00014226961880530131,0.014226961880530131
DGS10_return,0.00014105998102559872,0.014105998102559872
week_of_year,0.00010541358517338595,0.010541358517338595
year,0.00010086983325383147,0.010086983325383147
month_sin,9.884173797413269e-05,0.009884173797413269
day_of_week_cos,9.103158870820582e-05,0.009103158870820582
day_of_week_sin,8.427112164912662e-05,0.008427112164912662
day_of_week,8.325439577851323e-05,0.008325439577851323
month,6.691665340102298e-05,0.006691665340102298
quarter,3.8996139621121025e-05,0.0038996139621121024
is_weekend,1.2707103754903939e-05,0.001270710375490394
is_month_end,2.690441455937034e-06,0.0002690441455937034
is_quarter_end,5.889854495349739e-07,5.8898544953497385e-05
