feature,importance,importance_pct
DGS30_lag1,0.7748895,77.48895
DGS30_return,0.11050377,11.050377
DGS30_diff,0.08972492,8.972492
DGS30_ma_crossover,0.0050846967,0.50846964
is_month_end,0.0021700454,0.21700454
DGS30_roll_mean_7,0.0018474676,0.18474676
DGS30_roll_std_30,0.0015604416,0.15604416
DFF_roll_mean_7,0.001319331,0.1319331
month_cos,0.0013179317,0.13179317
DFF_roll_std_30,0.00086107216,0.08610722
DGS30_roll_std_7,0.0007488102,0.07488102
DGS10_roll_std_30,0.00068705605,0.0687056
DFF_lag10,0.0006657436,0.06657436
DFF_lag5,0.000654963,0.0654963
day_of_month,0.0005876377,0.058763772
DFF_ma_crossover,0.0005551565,0.05551565
DFF_return_lag1,0.00055255584,0.055255584
DFF_roll_mean_30,0.0005313935,0.05313935
DGS10_lag10,0.0004846202,0.04846202
DFF_return,0.00047553563,0.04755356
DGS30_lag5,0.00046421055,0.046421055
DGS10_lag5,0.00043839167,0.043839168
DGS10_roll_mean_7,0.00043643694,0.043643694
DGS30_lag10,0.0003606912,0.036069117
DGS10_lag1,0.00035778672,0.03577867
DFF_roll_std_7,0.00029769415,0.029769415
DGS10_roll_mean_30,0.00022047224,0.022047224
DGS10_ma_crossover,0.00021107732,0.021107731
day_of_week,0.00019450898,0.019450897
DGS10_return,0.00019276624,0.019276625
DGS30_return_lag1,0.00018567417,0.018567417
DFF_lag1,0.00015489542,0.015489542
DGS10_return_lag1,0.00014589632,0.014589632
day_of_year,0.00013359051,0.013359051
day_of_week_cos,0.00013068755,0.013068755
month_sin,0.00012677908,0.012677908
DGS30_roll_mean_30,0.0001236081,0.01236081
DGS10_diff,0.00012182724,0.012182724
DGS10_roll_std_7,0.00011550854,0.011550854
DFF_diff,0.00011463211,0.011463211
year,9.241884e-05,0.009241885
day_of_week_sin,7.513525e-05,0.007513525
week_of_year,5.475473e-05,0.005475473
is_quarter_end,2.787264e-05,0.002787264
DGS10_diff_pct,0.0,0.0
DFF_diff_pct,0.0,0.0
quarter,0.0,0.0
month,0.0,0.0
DGS30_diff_pct,0.0,0.0
is_weekend,0.0,0.0
